term_type,term_group,term,surprisal,surprisal_type,frequency
legal,乃|於是,乃,5.402996475089869,semantic,399
legal,乃|於是,乃,5.422155698801293,semantic,399
legal,乃|於是,乃,5.42693016265805,semantic,399
legal,乃|於是,乃,5.444779918952533,semantic,399
legal,乃|於是,乃,5.3980817578152696,semantic,399
legal,乃|於是,乃,5.443765482151173,semantic,399
legal,乃|於是,乃,5.413172147239268,semantic,399
legal,乃|於是,乃,5.436495483411457,semantic,399
legal,乃|於是,乃,5.4146911148828645,semantic,399
legal,乃|於是,乃,5.421754458768996,semantic,399
legal,乃|於是,乃,5.445148597197097,semantic,399
legal,乃|於是,乃,5.437537020913913,semantic,399
legal,乃|於是,乃,5.41724815288628,semantic,399
legal,乃|於是,乃,5.425109189062309,semantic,399
legal,乃|於是,乃,5.43549145067433,semantic,399
legal,乃|於是,乃,5.440149335317847,semantic,399
legal,乃|於是,乃,5.442080753013156,semantic,399
legal,乃|於是,乃,5.440834749184756,semantic,399
legal,乃|於是,乃,5.447347891831106,semantic,399
legal,乃|於是,乃,5.450075194590917,semantic,399
legal,乃|於是,乃,5.446093735221311,semantic,399
legal,乃|於是,乃,5.443538162539883,semantic,399
legal,乃|於是,乃,5.42073233359443,semantic,399
legal,乃|於是,乃,5.441324628654406,semantic,399
legal,乃|於是,乃,5.388376932897557,semantic,399
legal,乃|於是,乃,5.42490837167309,semantic,399
legal,乃|於是,乃,5.435366718683232,semantic,399
legal,乃|於是,乃,5.424367847887647,semantic,399
legal,乃|於是,乃,5.434954407473595,semantic,399
legal,乃|於是,乃,5.423902936013392,semantic,399
legal,乃|於是,乃,5.425595789100682,semantic,399
legal,乃|於是,乃,5.446932733681187,semantic,399
legal,乃|於是,乃,5.412644669527899,semantic,399
legal,乃|於是,乃,5.419609271624555,semantic,399
legal,乃|於是,乃,5.42237183297047,semantic,399
legal,乃|於是,乃,5.434599609934944,semantic,399
legal,乃|於是,乃,5.438002852465341,semantic,399
legal,乃|於是,乃,5.443107818431038,semantic,399
legal,乃|於是,乃,5.4391050518693795,semantic,399
legal,乃|於是,乃,5.447161194968242,semantic,399
legal,乃|於是,乃,5.435169869469143,semantic,399
legal,乃|於是,乃,5.349068569868319,semantic,399
legal,乃|於是,乃,5.399302233696116,semantic,399
legal,乃|於是,乃,5.43521291817064,semantic,399
legal,乃|於是,乃,5.443590195388091,semantic,399
legal,乃|於是,乃,5.453125403618019,semantic,399
legal,乃|於是,乃,5.436952732215635,semantic,399
legal,乃|於是,乃,5.397369211816355,semantic,399
legal,乃|於是,乃,5.422143510789592,semantic,399
legal,乃|於是,乃,5.430229984517217,semantic,399
legal,乃|於是,乃,5.449201811164548,semantic,399
legal,乃|於是,乃,5.432683807901628,semantic,399
legal,乃|於是,乃,5.444542934746056,semantic,399
legal,乃|於是,乃,5.429511418129916,semantic,399
legal,乃|於是,乃,5.4422655895644,semantic,399
legal,乃|於是,乃,5.437597561030101,semantic,399
legal,乃|於是,乃,5.429954125984953,semantic,399
legal,乃|於是,乃,5.435710255856289,semantic,399
legal,乃|於是,乃,5.391702747907883,semantic,399
legal,乃|於是,乃,5.397873089216413,semantic,399
legal,乃|於是,乃,5.4508609197794735,semantic,399
legal,乃|於是,乃,5.432450064014917,semantic,399
legal,乃|於是,乃,5.448567124139844,semantic,399
legal,乃|於是,乃,5.444445495151064,semantic,399
legal,乃|於是,乃,5.439777462758249,semantic,399
legal,乃|於是,乃,5.403877713339156,semantic,399
legal,乃|於是,乃,5.439682444995236,semantic,399
legal,乃|於是,乃,5.450997860451136,semantic,399
legal,乃|於是,乃,5.42931229101437,semantic,399
legal,乃|於是,乃,5.445516983841942,semantic,399
legal,乃|於是,乃,5.432567860227173,semantic,399
legal,乃|於是,乃,5.433360585646429,semantic,399
legal,乃|於是,乃,5.435100620632176,semantic,399
legal,乃|於是,乃,5.43200540592839,semantic,399
legal,乃|於是,乃,5.414274485533421,semantic,399
legal,乃|於是,乃,5.420567014443254,semantic,399
legal,乃|於是,乃,5.443820833276661,semantic,399
